Index,Name,PosX,PosY,Width,Height
1,Question 1,53.7324,272.386,491.0397,2796.7449
-1,,41.4963,703.3093,535.728,226.1017
-1,,39.3683,1603.992,527.7479,189.3934
-1,,42.0283,2394.0179,534.132,258.0219
2,Question 2,50.0084,3089.3471,499.5517,1397.5744
-2,,36.7083,3283.5285,557.0082,231.9537
-2,,36.1763,4169.8472,540.516,203.7575
3,Question 3,56.3924,4505.0097,491.5717,986.8674
-3,,35.6443,5067.8699,541.58,171.3053
4,Question 4,53.2004,5513.1572,492.6357,306.4343
5,Question 5,56.3924,6099.4256,487.3156,1025.1717
-5,,42.5603,6707.5061,519.2359,252.1699
6,Theorie,53.2004,197.3735,489.9757,40.9643
