Index,Name,PosX,PosY,Width,Height
1,Question 1,69.1339,112.572,315.6912,660.7489
2,Question 2,66.0749,937.2846,463.7479,285.1009
3,Question 3,68.5221,1233.398,426.4278,2056.2752
-3,,59.345,2479.6439,469.8659,184.765
-3,,58.7332,1618.8349,449.0646,184.765
4,Question 4,68.5221,3524.6061,491.8909,1059.6455
-4,,50.7798,4072.783,522.4811,314.4676
5,Question 5,67.9103,4592.8169,449.6764,885.893
-5,,55.0624,5022.3037,491.2791,225.7559
6,Question 6,67.9103,5504.4057,424.5924,367.0955
7,Theorie,69.7457,75.8638,131.538,37.3201
